,userID,bookRating,bookTitle
0,277427,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
1,3363,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
2,12538,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
3,13552,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
4,16795,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
5,24194,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
6,25981,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
7,26535,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
8,28204,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
9,30533,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
10,31826,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
11,41084,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
12,43246,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
13,44728,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
14,51883,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
15,52584,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
16,55548,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
17,60244,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
18,71712,6,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
19,77809,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
20,81045,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
21,82407,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
22,82831,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
23,88733,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
24,110934,6,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
25,111947,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
26,112026,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
27,113270,5,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
28,119575,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
29,126604,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
30,128835,8,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
31,130474,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
32,131837,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
33,150979,8,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
34,155147,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
35,159858,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
36,165308,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
37,170518,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
38,172030,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
39,173291,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
40,173415,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
41,174216,5,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
42,174304,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
43,178667,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
44,179733,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
45,183995,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
46,184299,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
47,185233,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
48,188010,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
49,190807,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
50,196077,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
51,198711,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
52,200226,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
53,201526,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
54,204864,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
55,208671,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
56,211426,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
57,225763,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
58,228998,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
59,229741,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
60,230249,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
61,235842,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
62,238120,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
63,243077,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
64,250405,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
65,250962,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
66,258938,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
67,265313,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
68,266226,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
69,266865,0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
